코인명,티커
1인치네트워크,KRW-1INCH
가스,KRW-GAS
게임빌드,KRW-GAME2
골렘,KRW-GLM
그래비티,KRW-G
그로스톨코인,KRW-GRS
너보스,KRW-CKB
네오,KRW-NEO
넴,KRW-XEM
니어프로토콜,KRW-NEAR
더그래프,KRW-GRT
도지코인,KRW-DOGE
드리프트,KRW-DRIFT
디센트럴랜드,KRW-MANA
디카르고,KRW-DKA
레이어제로,KRW-ZRO
렌더토큰,KRW-RENDER
룸네트워크,KRW-LOOM
리스크,KRW-LSK
마스크네트워크,KRW-MASK
매직에덴,KRW-ME
맨틀,KRW-MNT
멀티버스엑스,KRW-EGLD
메디블록,KRW-MED
메타디움,KRW-META
메탈,KRW-MTL
모스코인,KRW-MOC
모카네트워크,KRW-MOCA
무브먼트,KRW-MOVE
무비블록,KRW-MBL
미나,KRW-MINA
밀크,KRW-MLK
바나,KRW-VANA
바운스토큰,KRW-AUCTION
버추얼프로토콜,KRW-VIRTUAL
베라체인,KRW-BERA
베이직어텐션토큰,KRW-BAT
보라,KRW-BORA
봉크,KRW-BONK
블라스트,KRW-BLAST
블러,KRW-BLUR
비체인,KRW-VET
비토르토큰,KRW-VTHO
비트코인,KRW-BTC
비트코인에스브이,KRW-BSV
비트코인캐시,KRW-BCH
비트토렌트,KRW-BTT
빅타임,KRW-BIGTIME
빔,KRW-BEAM
샌드박스,KRW-SAND
세이,KRW-SEI
세이프,KRW-SAFE
셀로,KRW-CELO
소닉SVM,KRW-SONIC
솔라,KRW-SXP
솔라나,KRW-SOL
솔레이어,KRW-LAYER
수이,KRW-SUI
스타게이트파이낸스,KRW-STG
스택스,KRW-STX
스테이터스네트워크토큰,KRW-SNT
스테픈,KRW-GMT
스텔라루멘,KRW-XLM
스토리지,KRW-STORJ
스톰엑스,KRW-STMX
스트라이크,KRW-STRIKE
스트라티스,KRW-STRAX
스팀,KRW-STEEM
스페이스아이디,KRW-ID
시바이누,KRW-SHIB
시빅,KRW-CVC
시아코인,KRW-SC
썬더코어,KRW-TT
쎄타토큰,KRW-THETA
쎄타퓨엘,KRW-TFUEL
쓰레스홀드,KRW-T
아더,KRW-ARDR
아르고,KRW-AERGO
아발란체,KRW-AVAX
아비트럼,KRW-ARB
아스타,KRW-ASTR
아이오에스티,KRW-IOST
아이오타,KRW-IOTA
아이콘,KRW-ICX
아이큐,KRW-IQ
아카시네트워크,KRW-AKT
아캄,KRW-ARKM
아크,KRW-ARK
아하토큰,KRW-AHT
알고랜드,KRW-ALGO
알파쿼크,KRW-AQT
애니메코인,KRW-ANIME
앱토스,KRW-APT
앵커,KRW-ANKR
어드벤처골드,KRW-AGLD
에스티피,KRW-STPT
에이다,KRW-ADA
에이브,KRW-AAVE
에이셔,KRW-ATH
엑스알피(리플),KRW-XRP
엑시인피니티,KRW-AXS
엘프,KRW-ELF
엠블,KRW-MVL
오르카,KRW-ORCA
오브스,KRW-ORBS
오피셜트럼프,KRW-TRUMP
온도파이낸스,KRW-ONDO
온톨로지,KRW-ONT
온톨로지가스,KRW-ONG
왁스,KRW-WAXP
월러스,KRW-WAL
월렛커넥트,KRW-WCT
웜홀,KRW-W
웨이브,KRW-WAVES
유니스왑,KRW-UNI
유에스디코인,KRW-USDC
유엑스링크,KRW-UXLINK
이더리움,KRW-ETH
이더리움네임서비스,KRW-ENS
이더리움클래식,KRW-ETC
이뮤터블엑스,KRW-IMX
이오스,KRW-EOS
이캐시,KRW-XEC
인젝티브,KRW-INJ
저스트,KRW-JST
제로엑스,KRW-ZRX
제타체인,KRW-ZETA
주피터,KRW-JUP
지토,KRW-JTO
질리카,KRW-ZIL
체인링크,KRW-LINK
체인바운티,KRW-BOUNTY
칠리즈,KRW-CHZ
카바,KRW-KAVA
카브,KRW-CARV
카우프로토콜,KRW-COW
카이버네트워크,KRW-KNC
카이토,KRW-KAITO
캣인어독스월드,KRW-MEW
컴파운드,KRW-COMP
코박토큰,KRW-CBK
코스모스,KRW-ATOM
쿼크체인,KRW-QKC
퀀텀,KRW-QTUM
크레딧코인,KRW-CTC
크로노스,KRW-CRO
타이코,KRW-TAIKO
테더,KRW-USDT
테조스,KRW-XTZ
토카막네트워크,KRW-TOKAMAK
트론,KRW-TRX
파워렛저,KRW-POWR
파일코인,KRW-FIL
펀디엑스,KRW-PUNDIX
페페,KRW-PEPE
펜들,KRW-PENDLE
폴리곤에코시스템토큰,KRW-POL
폴리매쉬,KRW-POLYX
폴카닷,KRW-DOT
플로우,KRW-FLOW
피르마체인,KRW-FCT2
피스네트워크,KRW-PYTH
하이브,KRW-HIVE
하이파이,KRW-HIFI
헌트,KRW-HUNT
헤데라,KRW-HBAR
히포크랏,KRW-HPO
